filename,author,author_CLEAN,title,title_CLEAN,wordcount,author_id,doc_id,raw_date,date_avr,date_probs,date_manual,provenience,school,genre/subgenre,notes,lemmata_wordcount,n_sentences,tlg_epithet
tlg0001.tlg001.perseus-grc2.xml,Apollonius Rhodius,,Argonautica,,38822,tlg0001,tlg0001.tlg001,3 B.C.,-2.5,{'-2.5': 1},-2.5,pagan,,,,24237,3230,Epici/-ae
tlg0003.tlg001.perseus-grc2.xml,Thucydides,,The Peloponnesian War,,150126,tlg0003,tlg0003.tlg001,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,68154,6057,Historici/-ae
tlg0004.tlg001.perseus-grc1.xml,Diogenes Laertius,,Lives of Eminent Philosophers,,110773,tlg0004,tlg0004.tlg001,A.D. 3,2.5,{'2.5': 1},,pagan,,,,55323,9906,Biographi
tlg0005.tlg001.perseus-grc1.xml,Theocritus,,Idylls ,,19200,tlg0005,tlg0005.tlg001,4-3 B.C.,-3,"{'-3.5': 0.5, '-2.5': 0.5}",,pagan,,,,12177,1725,Bucolici
tlg0005.tlg002.perseus-grc1.xml,Theocritus,,Epigrams ,,1734,tlg0005,tlg0005.tlg002,4-3 B.C.,-3,"{'-3.5': 0.5, '-2.5': 0.5}",,pagan,,,,1089,135,Bucolici
tlg0005.tlg003.1st1K-grc1.xml,Theocritus,,Syrinx,,77,tlg0005,tlg0005.tlg003,4-3 B.C.,-3,"{'-3.5': 0.5, '-2.5': 0.5}",,pagan,,,,64,3,Bucolici
tlg0006.tlg001.perseus-grc2.xml,Euripides,,Cyclops,,4141,tlg0006,tlg0006.tlg001,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,2593,510,Tragici
tlg0006.tlg004.perseus-grc2.xml,Euripides,,Ἡρακλεῖδαι,,6272,tlg0006,tlg0006.tlg004,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,3778,652,Tragici
tlg0006.tlg005.perseus-grc2.xml,Euripides,,Ἱππόλυτος,,8257,tlg0006,tlg0006.tlg005,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,5109,901,Tragici
tlg0006.tlg006.perseus-grc2.xml,Euripides,,Ἀνδρομάχη,,7397,tlg0006,tlg0006.tlg006,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,4564,704,Tragici
tlg0006.tlg007.perseus-grc2.xml,Euripides,,Ἑκάβη,,7340,tlg0006,tlg0006.tlg007,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,4649,736,Tragici
tlg0006.tlg008.perseus-grc2.xml,Euripides,,Ἱκέτιδες,,7166,tlg0006,tlg0006.tlg008,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,4481,711,Tragici
tlg0006.tlg009.perseus-grc2.xml,Euripides,,Ἡρακλῆς,,7977,tlg0006,tlg0006.tlg009,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,5159,829,Tragici
tlg0006.tlg010.perseus-grc2.xml,Euripides,,Ἴων,,9339,tlg0006,tlg0006.tlg010,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,5873,1064,Tragici
tlg0006.tlg011.perseus-grc2.xml,Euripides,,Τρῳάδες,,7230,tlg0006,tlg0006.tlg011,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,4764,681,Tragici
tlg0006.tlg012.perseus-grc2.xml,Euripides,,Ἠλέκτρα,,7781,tlg0006,tlg0006.tlg012,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,4985,848,Tragici
tlg0006.tlg013.perseus-grc2.xml,Euripides,,Ἰφιγένεια ἐν Ταύροις,,8497,tlg0006,tlg0006.tlg013,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,5315,886,Tragici
tlg0006.tlg014.perseus-grc2.xml,Euripides,,Ἑλένη,,9982,tlg0006,tlg0006.tlg014,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,6248,1084,Tragici
tlg0006.tlg015.perseus-grc2.xml,Euripides,,Φοίνισσαι,,9951,tlg0006,tlg0006.tlg015,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,6524,1040,Tragici
tlg0006.tlg016.perseus-grc2.xml,Euripides,,Orestes,,10115,tlg0006,tlg0006.tlg016,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,6317,1158,Tragici
tlg0006.tlg017.perseus-grc2.xml,Euripides,,Βάκχαι,,7911,tlg0006,tlg0006.tlg017,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,4915,768,Tragici
tlg0006.tlg018.perseus-grc2.xml,Euripides,,Ἰφιγένεια ἐν Αὐλίδι,,9481,tlg0006,tlg0006.tlg018,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,5899,1016,Tragici
tlg0006.tlg019.perseus-grc2.xml,Euripides,,Ῥῆσος,,5506,tlg0006,tlg0006.tlg019,5 B.C.,-4.5,{'-4.5': 1},-4.5,pagan,,,,3560,624,Tragici
tlg0007.tlg001.perseus-grc2.xml,Plutarch,,Theseus,,7594,tlg0007,tlg0007.tlg001,A.D. 1-2,1,"{'0.5': 0.5, '1.5': 0.5}",1.5,pagan,,,,3613,391,Philosophici/-ae
tlg0007.tlg002.perseus-grc2.xml,Plutarch,,Romulus,,9397,tlg0007,tlg0007.tlg002,A.D. 1-2,1,"{'0.5': 0.5, '1.5': 0.5}",1.5,pagan,,,,4683,464,Philosophici/-ae
