author_id,doc_id,filename,author,title,source,lemmata_source,not_before,not_after,tlg_epithet,genre,provenience,wordcount,lemmatacount
ogl0001,ogl0001.ogl001,ogl0001.ogl001.1st1K-grc1.xml,Pinytus,De Epistola Pinyti ad Dionysium,glaux1,glaux1,101.0,200.0,[],[],christian,109,34
tlg0005,tlg0005.tlg003,tlg0005.tlg003.1st1K-grc1.xml,Theocritus,Syrinx,glaux1,glaux1,-400.0,-201.0,['Bucolici'],[],pagan,95,59
tlg0006,tlg0006.tlg020,tlg0006.tlg020.1st1K-grc1.xml,Euripides,Fragmenta,glaux1,glaux1,-500.0,-401.0,['Tragici'],[],pagan,21516,10315
tlg0007,tlg0007.tlg146,tlg0007.tlg146.1st1K-grc1.xml,Plutarch,Παροιμίαι αἷς Ἀλεξανδρεῖς ἐχρῶντο,glaux1,glaux1,1.0,200.0,['Biographi' 'Philosophici/-ae'],[],pagan,3206,1496
tlg0007,tlg0007.tlg147,tlg0007.tlg147.1st1K-grc1.xml,Plutarch,Ἐκλογὴ περὶ τῶν ἀδυνάτων,glaux1,glaux1,1.0,200.0,['Biographi' 'Philosophici/-ae'],[],pagan,195,125
tlg0015,tlg0015.tlg001,tlg0015.tlg001.1st1K-grc1.xml,Herodian,Ab excessu divi Marci,glaux1,glaux1,101.0,300.0,['Historici/-ae'],[],pagan,53515,22952
tlg0018,tlg0018.tlg001,tlg0018.tlg001.1st1K-grc1.xml,Philo Judaeus,De opificio mundi,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,15358,6451
tlg0018,tlg0018.tlg002,tlg0018.tlg002.1st1K-grc1.xml,Philo Judaeus,Legum allegoriarum libri i‑iii,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,47690,18182
tlg0018,tlg0018.tlg003,tlg0018.tlg003.1st1K-grc1.xml,Philo Judaeus,De Cherubim,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,8874,3786
tlg0018,tlg0018.tlg004,tlg0018.tlg004.1st1K-grc1.xml,Philo Judaeus,De sacrificiis Abelis et Caini,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,11095,4812
tlg0018,tlg0018.tlg005,tlg0018.tlg005.1st1K-grc1.xml,Philo Judaeus,Quod deterius potiori insidiari soleat,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,13174,5425
tlg0018,tlg0018.tlg006,tlg0018.tlg006.1st1K-grc1.xml,Philo Judaeus,De Posteritate Caini,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,12843,5455
tlg0018,tlg0018.tlg007,tlg0018.tlg007.1st1K-grc1.xml,Philo Judaeus,De gigantibus,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,3790,1568
tlg0018,tlg0018.tlg008,tlg0018.tlg008.1st1K-grc1.xml,Philo Judaeus,Quod deus sit immutabilis,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,10431,4346
tlg0018,tlg0018.tlg009,tlg0018.tlg009.1st1K-grc1.xml,Philo Judaeus,De agricultura,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,10454,4400
tlg0018,tlg0018.tlg010,tlg0018.tlg010.1st1K-grc1.xml,Philo Judaeus,De plantatione,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,14919,6037
tlg0018,tlg0018.tlg011,tlg0018.tlg011.1st1K-grc1.xml,Philo Judaeus,De ebrietate,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,13475,5628
tlg0018,tlg0018.tlg012,tlg0018.tlg012.1st1K-grc1.xml,Philo Judaeus,De sobrietate,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,4218,1782
tlg0018,tlg0018.tlg013,tlg0018.tlg013.1st1K-grc1.xml,Philo Judaeus,De confusione linguarum,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,12099,5027
tlg0018,tlg0018.tlg014,tlg0018.tlg014.1st1K-grc1.xml,Philo Judaeus,De migratione Abrahami,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,18903,7438
tlg0018,tlg0018.tlg015,tlg0018.tlg015.1st1K-grc1.xml,Philo Judaeus,Quis rerum divinarum heres sit,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,18783,7741
tlg0018,tlg0018.tlg016,tlg0018.tlg016.1st1K-grc1.xml,Philo Judaeus,De congressu eruditionis gratia,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,10572,4422
tlg0018,tlg0018.tlg017,tlg0018.tlg017.1st1K-grc1.xml,Philo Judaeus,De fuga et inventione,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,13159,5381
tlg0018,tlg0018.tlg018,tlg0018.tlg018.1st1K-grc1.xml,Philo Judaeus,De mutatione nominum,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,15672,6488
tlg0018,tlg0018.tlg019,tlg0018.tlg019.1st1K-grc1.xml,Philo Judaeus,De somniis (lib. i‑ii),glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,30246,12755
tlg0018,tlg0018.tlg020,tlg0018.tlg020.1st1K-grc1.xml,Philo Judaeus,De Abrahamo,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,15353,6535
tlg0018,tlg0018.tlg021,tlg0018.tlg021.1st1K-grc1.xml,Philo Judaeus,De Josepho,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,14923,6403
tlg0018,tlg0018.tlg022,tlg0018.tlg022.1st1K-grc1.xml,Philo Judaeus,De vita Mosis (lib. i‑ii),glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,36123,15600
tlg0018,tlg0018.tlg023,tlg0018.tlg023.1st1K-grc1.xml,Philo Judaeus,De decalogo,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,9813,4156
tlg0018,tlg0018.tlg024,tlg0018.tlg024.1st1K-grc1.xml,Philo Judaeus,De specialibus legibus (lib. i‑iv),glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,108672,42217
tlg0018,tlg0018.tlg025,tlg0018.tlg025.1st1K-grc1.xml,Philo Judaeus,De virtutibus,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,14055,6124
tlg0018,tlg0018.tlg026,tlg0018.tlg026.1st1K-grc1.xml,Philo Judaeus,De praemiis et poenis et De exsecrationibus,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,10505,4713
tlg0018,tlg0018.tlg027,tlg0018.tlg027.1st1K-grc1.xml,Philo Judaeus,Quod omnis probus liber sit,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,9056,3944
tlg0018,tlg0018.tlg028,tlg0018.tlg028.1st1K-grc1.xml,Philo Judaeus,De vita contemplativa,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,5342,2282
tlg0018,tlg0018.tlg029,tlg0018.tlg029.1st1K-grc1.xml,Philo Judaeus,De aeternitate mundi,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,20244,7555
tlg0018,tlg0018.tlg030,tlg0018.tlg030.1st1K-grc1.xml,Philo Judaeus,In Flaccum,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,10317,4500
tlg0018,tlg0018.tlg031,tlg0018.tlg031.1st1K-grc1.xml,Philo Judaeus,Legatio Ad Gaium,glaux1,glaux1,-100.0,100.0,['Philosophici/-ae'],[],jewish,20359,8698
tlg0022,tlg0022.tlg001,tlg0022.tlg001.1st1K-grc1.xml,Nicander of Colophon,Θηριακά,glaux1,glaux1,-300.0,-101.0,['Epici/-ae'],[],pagan,7532,3996
tlg0022,tlg0022.tlg002,tlg0022.tlg002.1st1K-grc1.xml,Nicander of Colophon,Αλεξιφάρμακα,glaux1,glaux1,-300.0,-101.0,['Epici/-ae'],[],pagan,4814,2618
tlg0026,tlg0026.tlg004,tlg0026.tlg004.1st1K-grc1.xml,Aeschines [Sp.],Ἐπιστολαί,glaux1,glaux1,-400.0,-301.0,['Oratores'],[],pagan,4969,1843
tlg0037,tlg0037.tlg001,tlg0037.tlg001.1st1K-grc1.xml,Anacharsis,Epistulae,glaux1,glaux1,-600.0,501.0,[],[],pagan,1540,775
tlg0039,tlg0039.tlg001,tlg0039.tlg001.1st1K-grc1.xml,Mithridatis Epistula,Epistula,glaux1,glaux1,-100.0,-1.0,[],[],pagan,384,156
tlg0041,tlg0041.tlg001,tlg0041.tlg001.1st1K-grc1.xml,Chionis Epistulae,Epistulae,glaux1,glaux1,1.0,100.0,[],[],pagan,5480,2174
tlg0044,tlg0044.tlg001,tlg0044.tlg001.1st1K-grc1.xml,Antiochus Epistolographus,Epistulae,glaux1,glaux1,-300.0,-100.0,[],[],pagan,511,206
tlg0048,tlg0048.tlg001,tlg0048.tlg001.1st1K-grc1.xml,"Philip II, King of Macedonia",Epistulae,glaux1,glaux1,-500.0,-301.0,['Epistolographi'],[],pagan,2640,1071
tlg0053,tlg0053.tlg001,tlg0053.tlg001.1st1K-grc1.xml,Phalaridis Epistulae,Epistulae,glaux1,glaux1,101.0,200.0,[],[],pagan,20394,8224
